"popul","TVnews","ClinLR","DoleLR","age","educ","income","vote"
350,1,"sliCon","Con",30,"BAdeg","$9K-$10K","Clinton"
22,2,"Lib","extCon",32,"CCdeg","$15K-$17K","Clinton"
9,7,"Mod","Lib",44,"HS","$90K-$105K","Clinton"
10,1,"extLib","sliCon",38,"HS","$30K-$35K","Dole"
130,4,"Mod","Con",25,"BAdeg","$45K-$50K","Clinton"
0,7,"Lib","sliCon",69,"HS","$30K-$35K","Dole"
20,7,"Lib","Con",45,"CCdeg","$50K-$60K","Clinton"
1,5,"sliLib","Con",47,"MAdeg","$40K-$45K","Clinton"
0,7,"extLib","Con",59,"Coll","$75K-$90K","Dole"
4,0,"sliLib","Con",39,"MAdeg","$40K-$45K","Clinton"
1600,7,"Con","extLib",70,"HS","$17K-$20K","Clinton"
63,1,"Mod","Con",53,"CCdeg","$22K-$25K","Dole"
7300,7,"extLib","Con",45,"HS","$50K-$60K","Clinton"
9,4,"Lib","Con",66,"BAdeg","$75K-$90K","Dole"
0,2,"extLib","Con",58,"BAdeg","$30K-$35K","Dole"
1600,1,"sliLib","Con",24,"BAdeg","$10K-$11K","Clinton"
310,7,"extLib","Con",63,"Coll","$50K-$60K","Dole"
100,1,"extCon","sliCon",35,"HSdrop","$5K-$7K","Clinton"
0,7,"extLib","sliCon",42,"HS","$50K-$60K","Dole"
9,1,"Mod","extCon",34,"MAdeg","$105Kplus","Clinton"
900,3,"Mod","Con",45,"BAdeg","$50K-$60K","Clinton"
2,2,"sliLib","sliCon",50,"BAdeg","$60K-$75K","Dole"
0,7,"sliLib","Lib",65,"Coll","$11K-$12K","Clinton"
0,5,"Lib","Con",42,"MAdeg","$40K-$45K","Clinton"
30,2,"Lib","Con",21,"Coll","$17K-$20K","Clinton"
100,7,"Mod","Con",42,"CCdeg","$3Kminus","Clinton"
0,2,"extLib","Con",49,"Coll","$35K-$40K","Dole"
71,2,"extLib","extCon",64,"HS","$60K-$75K","Clinton"
55,7,"sliCon","Mod",71,"HSdrop","$15K-$17K","Clinton"
0,7,"sliCon","Lib",73,"HS","$9K-$10K","Clinton"
22,7,"extLib","Con",87,"CCdeg","$15K-$17K","Dole"
0,3,"Mod","Con",46,"BAdeg","$40K-$45K","Clinton"
110,5,"sliCon","Mod",44,"CCdeg","$40K-$45K","Clinton"
0,7,"Mod","Con",47,"MAdeg","$50K-$60K","Dole"
630,2,"Mod","sliCon",66,"MS","$13K-$14K","Dole"
84,4,"sliLib","Con",33,"MAdeg","$50K-$60K","Clinton"
4,7,"extLib","Con",87,"BAdeg","$40K-$45K","Dole"
0,3,"sliLib","Con",39,"BAdeg","$90K-$105K","Clinton"
35,0,"extLib","Con",36,"BAdeg","$35K-$40K","Dole"
0,7,"extLib","sliCon",40,"BAdeg","$30K-$35K","Dole"
18,0,"extLib","Con",67,"CCdeg","$60K-$75K","Dole"
33,7,"sliCon","extCon",70,"HSdrop","$14K-$15K","Clinton"
100,2,"Mod","extCon",30,"HS","$7K-$9K","Clinton"
350,3,"sliLib","Con",68,"Coll","$20K-$22K","Dole"
1,1,"Lib","extCon",39,"BAdeg","$10K-$11K","Clinton"
170,3,"Mod","Con",48,"MS","$17K-$20K","Clinton"
11,7,"extLib","Con",66,"HS","$20K-$22K","Dole"
350,5,"Mod","Con",70,"MAdeg","$60K-$75K","Dole"
180,3,"sliLib","Con",35,"CCdeg","$60K-$75K","Clinton"
71,7,"Lib","sliCon",76,"HS","$60K-$75K","Dole"
0,0,"Mod","sliLib",53,"MAdeg","$60K-$75K","Dole"
3,1,"Con","Lib",63,"HS","$22K-$25K","Clinton"
20,1,"Mod","Con",31,"CCdeg","$90K-$105K","Clinton"
71,4,"Lib","sliCon",49,"MAdeg","$50K-$60K","Dole"
2800,7,"sliLib","extCon",46,"BAdeg","$40K-$45K","Clinton"
16,7,"Con","Con",29,"HS","$15K-$17K","Clinton"
0,4,"extLib","Mod",33,"HS","$30K-$35K","Dole"
0,7,"Lib","sliCon",30,"MAdeg","$50K-$60K","Dole"
0,4,"Lib","Con",50,"Coll","$105Kplus","Dole"
100,3,"Lib","Con",39,"CCdeg","$15K-$17K","Dole"
900,2,"Lib","extCon",58,"HS","$30K-$35K","Clinton"
0,1,"sliLib","Con",52,"BAdeg","$105Kplus","Dole"
31,3,"sliLib","Con",35,"MAdeg","$105Kplus","Clinton"
470,2,"sliLib","Con",27,"BAdeg","$35K-$40K","Clinton"
360,6,"Lib","Con",46,"BAdeg","$60K-$75K","Dole"
40,7,"Mod","Con",21,"HS","$25K-$30K","Clinton"
2800,0,"Con","extLib",28,"HSdrop","$17K-$20K","Clinton"
470,7,"Lib","Con",50,"BAdeg","$60K-$75K","Clinton"
290,7,"Lib","extCon",35,"Coll","$45K-$50K","Clinton"
27,2,"extLib","Con",31,"HS","$50K-$60K","Dole"
20,0,"sliLib","sliCon",38,"BAdeg","$105Kplus","Dole"
0,7,"sliLib","sliCon",70,"HS","$30K-$35K","Clinton"
22,5,"Lib","Con",55,"HS","$9K-$10K","Clinton"
0,2,"extLib","sliCon",55,"HS","$45K-$50K","Dole"
56,3,"Mod","sliCon",26,"BAdeg","$90K-$105K","Clinton"
270,2,"Mod","Con",26,"Coll","$20K-$22K","Clinton"
16,7,"Con","sliCon",51,"Coll","$40K-$45K","Clinton"
22,4,"Mod","Con",87,"HSdrop","$14K-$15K","Clinton"
0,7,"Lib","Con",50,"BAdeg","$105Kplus","Dole"
190,1,"Lib","Con",35,"HS","$50K-$60K","Dole"
3,6,"Lib","Con",47,"HS","$60K-$75K","Clinton"
12,7,"sliLib","sliCon",63,"MAdeg","$60K-$75K","Dole"
0,7,"extLib","Con",73,"BAdeg","$105Kplus","Dole"
7300,7,"Mod","Lib",38,"Coll","$50K-$60K","Clinton"
100,7,"Con","Mod",77,"Coll","$3Kminus","Clinton"
130,2,"Mod","Con",37,"Coll","$40K-$45K","Dole"
170,0,"sliCon","Con",41,"BAdeg","$50K-$60K","Clinton"
16,6,"sliLib","Con",67,"Coll","$35K-$40K","Clinton"
130,0,"Lib","Con",32,"Coll","$60K-$75K","Dole"
13,4,"sliLib","Con",62,"Coll","$50K-$60K","Dole"
100,5,"Lib","Con",59,"CCdeg","$60K-$75K","Dole"
29,2,"Lib","sliCon",49,"BAdeg","$90K-$105K","Dole"
310,1,"Lib","sliCon",47,"BAdeg","$90K-$105K","Dole"
0,7,"sliLib","Con",55,"MAdeg","$105Kplus","Dole"
31,2,"Lib","Con",19,"Coll","$5K-$7K","Dole"
33,0,"sliLib","Con",33,"MAdeg","$105Kplus","Clinton"
110,0,"Mod","Con",47,"MAdeg","$60K-$75K","Clinton"
22,3,"extLib","Con",28,"Coll","$22K-$25K","Dole"
24,7,"Mod","sliCon",38,"MAdeg","$105Kplus","Clinton"
9,2,"extLib","Con",35,"MAdeg","$60K-$75K","Dole"
270,3,"Lib","extCon",48,"HS","$60K-$75K","Clinton"
0,7,"Mod","Con",74,"MAdeg","$17K-$20K","Clinton"
5,7,"Mod","extCon",70,"HS","$14K-$15K","Clinton"
0,4,"sliLib","Con",76,"MAdeg","$12K-$13K","Dole"
23,1,"extLib","Con",46,"Coll","$105Kplus","Dole"
9,0,"Lib","Con",33,"BAdeg","$105Kplus","Dole"
2800,0,"sliCon","Con",41,"HS","$17K-$20K","Clinton"
640,4,"Lib","sliCon",62,"HS","$25K-$30K","Dole"
0,0,"extLib","sliCon",36,"BAdeg","$105Kplus","Dole"
51,4,"sliLib","Con",44,"CCdeg","$90K-$105K","Clinton"
9,3,"Lib","sliCon",47,"BAdeg","$105Kplus","Clinton"
270,7,"Lib","extCon",51,"HS","$20K-$22K","Clinton"
0,7,"sliLib","sliCon",43,"BAdeg","$60K-$75K","Clinton"
75,2,"Lib","sliCon",55,"MAdeg","$60K-$75K","Clinton"
3,6,"Lib","Con",67,"HS","$25K-$30K","Dole"
900,7,"extCon","Mod",76,"HS","$20K-$22K","Clinton"
8,7,"Lib","Con",78,"HS","$17K-$20K","Clinton"
0,7,"Lib","Con",55,"MAdeg","$40K-$45K","Clinton"
180,7,"Con","sliLib",31,"Coll","$3Kminus","Clinton"
9,2,"sliLib","Con",40,"BAdeg","$50K-$60K","Clinton"
16,7,"Mod","sliLib",43,"Coll","$60K-$75K","Clinton"
160,7,"sliLib","sliCon",44,"MAdeg","$50K-$60K","Clinton"
0,6,"Lib","Con",39,"MAdeg","$75K-$90K","Dole"
0,0,"Lib","Con",41,"MAdeg","$105Kplus","Dole"
35,7,"sliLib","Con",31,"MAdeg","$75K-$90K","Clinton"
40,3,"Lib","sliCon",68,"HS","$7K-$9K","Dole"
0,0,"Lib","Con",52,"HS","$30K-$35K","Dole"
0,4,"extLib","Con",40,"HS","$60K-$75K","Dole"
0,7,"Mod","sliCon",30,"HS","$9K-$10K","Clinton"
2,2,"sliLib","extCon",27,"HS","$50K-$60K","Clinton"
0,7,"sliLib","sliCon",42,"CCdeg","$60K-$75K","Dole"
29,1,"Lib","Mod",25,"CCdeg","$22K-$25K","Clinton"
310,3,"Mod","Con",58,"CCdeg","$60K-$75K","Clinton"
110,0,"extLib","Con",24,"HS","$15K-$17K","Clinton"
3,3,"Lib","sliCon",50,"Coll","$60K-$75K","Dole"
35,7,"sliLib","Con",43,"MAdeg","$30K-$35K","Clinton"
100,3,"Con","Lib",44,"HS","$7K-$9K","Clinton"
35,3,"Lib","Con",22,"BAdeg","$30K-$35K","Clinton"
0,7,"sliCon","extCon",38,"HS","$50K-$60K","Clinton"
290,6,"extLib","sliCon",49,"BAdeg","$50K-$60K","Dole"
900,7,"Lib","Con",76,"Coll","$25K-$30K","Clinton"
0,6,"sliLib","Con",62,"Coll","$14K-$15K","Clinton"
170,6,"Lib","Con",49,"BAdeg","$15K-$17K","Clinton"
330,2,"sliCon","sliCon",43,"CCdeg","$25K-$30K","Clinton"
35,2,"extLib","Con",57,"MAdeg","$30K-$35K","Clinton"
2,2,"sliLib","Con",28,"Coll","$40K-$45K","Clinton"
290,0,"Lib","Con",40,"BAdeg","$40K-$45K","Dole"
9,7,"Mod","extLib",44,"HS","$40K-$45K","Dole"
20,7,"Mod","Con",69,"MS","$25K-$30K","Clinton"
0,1,"sliCon","Con",28,"BAdeg","$25K-$30K","Clinton"
110,0,"sliLib","Con",22,"BAdeg","$5K-$7K","Clinton"
9,6,"Mod","Con",75,"BAdeg","$35K-$40K","Clinton"
0,3,"Lib","Con",37,"Coll","$45K-$50K","Dole"
170,3,"Lib","extCon",35,"BAdeg","$20K-$22K","Clinton"
0,7,"Lib","Con",72,"Coll","$17K-$20K","Clinton"
45,0,"Lib","extCon",31,"Coll","$35K-$40K","Clinton"
83,2,"extLib","Con",24,"BAdeg","$60K-$75K","Dole"
22,3,"sliLib","sliCon",33,"HSdrop","$11K-$12K","Dole"
270,2,"Mod","Con",43,"BAdeg","$22K-$25K","Clinton"
2,4,"sliLib","sliCon",43,"CCdeg","$35K-$40K","Clinton"
81,7,"sliLib","extCon",34,"HS","$50K-$60K","Clinton"
400,1,"sliLib","extCon",32,"Coll","$9K-$10K","Clinton"
3,0,"extCon","sliLib",33,"Coll","$13K-$14K","Clinton"
0,7,"sliCon","Mod",76,"HSdrop","$25K-$30K","Clinton"
13,7,"Mod","extCon",73,"Coll","$12K-$13K","Clinton"
20,2,"Lib","Con",33,"CCdeg","$50K-$60K","Clinton"
83,0,"sliLib","Con",56,"MAdeg","$105Kplus","Clinton"
29,4,"Mod","Con",37,"CCdeg","$25K-$30K","Clinton"
2,0,"Lib","Mod",72,"HS","$35K-$40K","Dole"
0,7,"Con","sliLib",59,"HSdrop","$22K-$25K","Clinton"
3,0,"Mod","sliLib",32,"HS","$5K-$7K","Clinton"
900,2,"sliCon","sliLib",25,"HS","$25K-$30K","Clinton"
0,0,"Lib","sliLib",40,"HS","$40K-$45K","Dole"
0,0,"Mod","Mod",47,"Coll","$9K-$10K","Clinton"
31,3,"Lib","Con",42,"BAdeg","$30K-$35K","Dole"
350,7,"Lib","extCon",53,"HS","$90K-$105K","Clinton"
9,0,"Lib","sliCon",41,"BAdeg","$40K-$45K","Dole"
200,7,"extLib","Mod",26,"BAdeg","$25K-$30K","Dole"
9,1,"sliLib","sliCon",37,"BAdeg","$40K-$45K","Dole"
0,4,"Con","sliLib",28,"Coll","$35K-$40K","Clinton"
59,5,"sliLib","sliCon",73,"CCdeg","$9K-$10K","Clinton"
110,6,"Lib","Con",34,"MAdeg","$60K-$75K","Dole"
18,7,"Lib","Con",61,"MAdeg","$105Kplus","Dole"
390,7,"Con","Lib",24,"HS","$9K-$10K","Clinton"
19,0,"Con","extCon",32,"Coll","$35K-$40K","Clinton"
71,7,"sliLib","Con",79,"HS","$22K-$25K","Clinton"
11,2,"Lib","sliCon",32,"BAdeg","$45K-$50K","Dole"
63,3,"Lib","Con",30,"BAdeg","$17K-$20K","Dole"
470,4,"Mod","Con",42,"BAdeg","$50K-$60K","Clinton"
22,7,"Lib","sliCon",68,"BAdeg","$30K-$35K","Dole"
51,7,"extLib","extCon",74,"HS","$25K-$30K","Clinton"
0,7,"Lib","extCon",55,"HS","$45K-$50K","Clinton"
360,2,"Con","sliCon",35,"Coll","$30K-$35K","Clinton"
4,7,"Lib","Con",32,"BAdeg","$75K-$90K","Clinton"
330,7,"Con","Mod",62,"HS","$17K-$20K","Clinton"
0,3,"sliLib","Con",47,"BAdeg","$11K-$12K","Dole"
10,0,"Lib","Con",32,"HS","$40K-$45K","Dole"
40,1,"sliCon","sliLib",44,"HS","$35K-$40K","Clinton"
190,2,"Mod","Con",22,"Coll","$3Kminus","Dole"
2,0,"Con","Mod",47,"HS","$25K-$30K","Clinton"
7300,1,"sliLib","Con",32,"HS","$35K-$40K","Dole"
0,2,"sliCon","Lib",23,"HSdrop","$40K-$45K","Clinton"
12,0,"Lib","Con",45,"MAdeg","$50K-$60K","Clinton"
140,4,"Mod","Con",69,"HS","$40K-$45K","Clinton"
71,2,"Con","Lib",57,"Coll","$45K-$50K","Clinton"
350,2,"sliLib","Con",19,"HS","$7K-$9K","Clinton"
5,0,"extLib","sliCon",61,"Coll","$50K-$60K","Dole"
0,3,"sliLib","sliCon",35,"BAdeg","$35K-$40K","Dole"
50,5,"sliLib","Con",44,"HS","$60K-$75K","Dole"
56,0,"Lib","Con",42,"Coll","$90K-$105K","Dole"
63,0,"sliLib","Lib",78,"HSdrop","$15K-$17K","Clinton"
75,7,"Lib","Con",54,"BAdeg","$90K-$105K","Clinton"
310,7,"Mod","sliLib",65,"HS","$25K-$30K","Clinton"
0,7,"sliLib","sliCon",57,"MAdeg","$60K-$75K","Clinton"
9,0,"Lib","Con",21,"CCdeg","$60K-$75K","Clinton"
0,2,"sliLib","Con",21,"Coll","$3K-$5K","Clinton"
16,7,"Lib","Con",53,"BAdeg","$90K-$105K","Dole"
35,6,"Mod","Lib",46,"HS","$7K-$9K","Clinton"
23,3,"Lib","Con",54,"CCdeg","$105Kplus","Dole"
640,7,"Lib","Con",40,"HS","$40K-$45K","Dole"
8,0,"extLib","Con",29,"HS","$50K-$60K","Dole"
3,5,"Lib","Mod",79,"BAdeg","$17K-$20K","Clinton"
0,7,"Lib","Con",43,"CCdeg","$30K-$35K","Dole"
0,3,"Lib","Con",47,"MAdeg","$75K-$90K","Clinton"
350,0,"Lib","Con",56,"HS","$50K-$60K","Dole"
11,1,"sliLib","Con",45,"HS","$50K-$60K","Clinton"
190,2,"sliLib","Con",35,"BAdeg","$90K-$105K","Clinton"
9,7,"Lib","Con",87,"MAdeg","$90K-$105K","Dole"
31,0,"Lib","extCon",49,"BAdeg","$105Kplus","Clinton"
110,2,"Lib","sliCon",56,"HS","$60K-$75K","Dole"
1600,5,"sliLib","Con",29,"MAdeg","$35K-$40K","Clinton"
5,7,"Lib","Con",70,"BAdeg","$60K-$75K","Dole"
9,1,"sliLib","Con",65,"MAdeg","$105Kplus","Clinton"
45,2,"Lib","Con",72,"Coll","$22K-$25K","Clinton"
9,2,"sliCon","Con",33,"HS","$30K-$35K","Dole"
0,7,"extLib","Con",44,"Coll","$3K-$5K","Dole"
180,7,"Lib","Con",39,"BAdeg","$35K-$40K","Clinton"
0,7,"extLib","Con",51,"MAdeg","$75K-$90K","Dole"
4,5,"Lib","sliCon",58,"MAdeg","$40K-$45K","Dole"
0,7,"sliLib","Con",59,"HS","$60K-$75K","Dole"
15,4,"sliLib","Con",32,"MAdeg","$75K-$90K","Clinton"
0,1,"Mod","Con",32,"BAdeg","$30K-$35K","Clinton"
390,5,"Mod","extCon",40,"CCdeg","$3K-$5K","Clinton"
3500,7,"sliLib","sliCon",34,"MAdeg","$105Kplus","Clinton"
900,1,"Lib","extCon",55,"Coll","$22K-$25K","Clinton"
370,7,"Mod","extLib",79,"Coll","$15K-$17K","Clinton"
18,5,"extLib","Con",53,"MAdeg","$105Kplus","Dole"
35,1,"sliLib","Con",27,"BAdeg","$35K-$40K","Clinton"
640,2,"Lib","sliLib",30,"CCdeg","$25K-$30K","Clinton"
7300,5,"Lib","Con",37,"MAdeg","$40K-$45K","Dole"
5,1,"Lib","sliCon",36,"MAdeg","$35K-$40K","Dole"
390,7,"sliCon","sliLib",43,"HS","$11K-$12K","Clinton"
7300,2,"sliLib","Con",57,"BAdeg","$45K-$50K","Clinton"
0,3,"Lib","Con",48,"HS","$45K-$50K","Dole"
7,4,"Mod","sliCon",70,"BAdeg","$25K-$30K","Clinton"
0,0,"sliLib","sliCon",42,"HS","$75K-$90K","Clinton"
0,7,"sliCon","sliLib",62,"HS","$30K-$35K","Clinton"
71,1,"Lib","sliCon",41,"HS","$25K-$30K","Dole"
53,0,"Con","Mod",37,"CCdeg","$45K-$50K","Clinton"
0,2,"Lib","Con",35,"BAdeg","$30K-$35K","Clinton"
0,5,"sliLib","Con",39,"Coll","$35K-$40K","Clinton"
9,2,"sliLib","Con",36,"BAdeg","$60K-$75K","Dole"
7,2,"sliLib","extCon",38,"Coll","$60K-$75K","Clinton"
83,2,"sliLib","Con",47,"MAdeg","$15K-$17K","Clinton"
3500,1,"Mod","extCon",32,"BAdeg","$90K-$105K","Clinton"
0,0,"Mod","Con",45,"HS","$45K-$50K","Clinton"
88,0,"sliLib","sliCon",32,"BAdeg","$90K-$105K","Dole"
31,2,"Mod","Con",20,"Coll","$10K-$11K","Dole"
0,2,"extLib","Con",64,"HS","$35K-$40K","Dole"
15,2,"sliLib","Mod",24,"HS","$45K-$50K","Dole"
74,7,"Mod","extCon",88,"HSdrop","$3K-$5K","Clinton"
270,3,"extCon","Con",38,"HS","$50K-$60K","Clinton"
470,7,"Lib","Mod",70,"Coll","$15K-$17K","Dole"
180,6,"sliCon","sliCon",51,"HSdrop","$5K-$7K","Clinton"
0,0,"sliLib","Con",30,"BAdeg","$45K-$50K","Dole"
71,7,"Lib","extCon",68,"Coll","$22K-$25K","Clinton"
350,1,"sliLib","Mod",37,"HS","$35K-$40K","Dole"
0,3,"Lib","Con",40,"BAdeg","$105Kplus","Dole"
170,7,"sliLib","Lib",48,"HSdrop","$10K-$11K","Clinton"
0,7,"sliLib","sliCon",75,"Coll","$25K-$30K","Dole"
0,7,"sliCon","Mod",83,"BAdeg","$22K-$25K","Dole"
0,2,"sliLib","Con",49,"Coll","$45K-$50K","Clinton"
12,0,"Lib","sliCon",20,"HS","$25K-$30K","Clinton"
0,0,"Lib","sliCon",37,"CCdeg","$40K-$45K","Dole"
75,7,"Lib","sliCon",62,"BAdeg","$75K-$90K","Dole"
2,7,"Mod","Con",72,"HSdrop","$7K-$9K","Clinton"
6,0,"Mod","sliCon",55,"HS","$20K-$22K","Clinton"
0,7,"extLib","Con",68,"HS","$7K-$9K","Dole"
27,2,"extLib","Con",35,"CCdeg","$11K-$12K","Dole"
75,1,"extLib","Con",37,"Coll","$60K-$75K","Dole"
9,5,"Lib","sliCon",57,"BAdeg","$30K-$35K","Dole"
14,7,"extLib","sliCon",59,"Coll","$35K-$40K","Dole"
0,7,"extLib","sliCon",66,"Coll","$30K-$35K","Dole"
6,7,"Lib","Con",77,"Coll","$9K-$10K","Dole"
0,7,"Lib","sliCon",47,"HS","$35K-$40K","Dole"
100,5,"Lib","Con",68,"Coll","$25K-$30K","Clinton"
30,5,"extCon","Lib",37,"Coll","$7K-$9K","Clinton"
0,5,"Lib","sliCon",55,"BAdeg","$75K-$90K","Dole"
640,7,"extLib","sliCon",34,"HS","$14K-$15K","Clinton"
180,7,"Lib","Mod",56,"HS","$60K-$75K","Clinton"
75,3,"Lib","sliCon",75,"BAdeg","$45K-$50K","Dole"
720,7,"sliCon","sliCon",63,"Coll","$90K-$105K","Clinton"
18,3,"sliLib","Con",44,"MAdeg","$105Kplus","Clinton"
5,1,"Lib","Con",50,"HS","$30K-$35K","Clinton"
9,4,"sliCon","extLib",35,"Coll","$12K-$13K","Clinton"
190,1,"Lib","sliCon",32,"HS","$60K-$75K","Clinton"
0,7,"sliLib","Mod",39,"Coll","$35K-$40K","Clinton"
51,4,"sliLib","sliCon",68,"HS","$75K-$90K","Dole"
45,7,"Mod","Con",88,"Coll","$7K-$9K","Clinton"
2,7,"Lib","extCon",66,"Coll","$17K-$20K","Clinton"
2800,7,"Lib","extCon",23,"Coll","$40K-$45K","Clinton"
40,7,"sliLib","Mod",40,"BAdeg","$3K-$5K","Clinton"
0,7,"extLib","Con",39,"HS","$30K-$35K","Dole"
350,1,"Lib","Con",55,"BAdeg","$105Kplus","Dole"
51,2,"extLib","sliCon",80,"BAdeg","$13K-$14K","Dole"
7,7,"sliLib","Con",76,"CCdeg","$30K-$35K","Clinton"
56,4,"sliCon","sliLib",78,"BAdeg","$25K-$30K","Dole"
53,0,"Lib","Con",37,"BAdeg","$25K-$30K","Clinton"
0,0,"Mod","sliLib",36,"HS","$20K-$22K","Clinton"
22,7,"sliLib","Mod",58,"MAdeg","$60K-$75K","Clinton"
54,7,"Lib","Con",62,"CCdeg","$50K-$60K","Dole"
83,0,"Mod","extCon",29,"BAdeg","$22K-$25K","Clinton"
0,0,"extLib","Con",39,"CCdeg","$25K-$30K","Dole"
31,7,"Lib","extCon",22,"Coll","$10K-$11K","Clinton"
30,5,"sliLib","Con",38,"CCdeg","$22K-$25K","Clinton"
12,0,"sliLib","Con",25,"BAdeg","$12K-$13K","Dole"
33,2,"Lib","Con",33,"BAdeg","$50K-$60K","Dole"
29,1,"sliCon","sliLib",58,"MS","$30K-$35K","Clinton"
11,3,"sliCon","Con",47,"HS","$60K-$75K","Clinton"
11,5,"Lib","Con",27,"MAdeg","$25K-$30K","Dole"
3500,3,"Lib","extCon",21,"HS","$45K-$50K","Clinton"
520,7,"Lib","sliCon",60,"Coll","$40K-$45K","Dole"
12,1,"Lib","Con",42,"Coll","$10K-$11K","Dole"
0,7,"Lib","Con",45,"Coll","$60K-$75K","Dole"
64,2,"Lib","Con",26,"CCdeg","$45K-$50K","Dole"
0,1,"Lib","Con",39,"HSdrop","$20K-$22K","Clinton"
7300,5,"extCon","Con",21,"HSdrop","$12K-$13K","Clinton"
7,1,"sliLib","Con",30,"Coll","$50K-$60K","Dole"
84,0,"Lib","extCon",26,"BAdeg","$17K-$20K","Clinton"
14,0,"extLib","sliCon",29,"Coll","$40K-$45K","Dole"
14,0,"Lib","Con",40,"BAdeg","$25K-$30K","Clinton"
350,0,"Mod","extCon",26,"HSdrop","$3K-$5K","Clinton"
100,0,"Lib","Con",42,"Coll","$50K-$60K","Clinton"
2,7,"sliCon","sliCon",55,"HS","$90K-$105K","Clinton"
0,3,"Lib","extCon",42,"BAdeg","$75K-$90K","Clinton"
640,7,"Con","Mod",68,"BAdeg","$3Kminus","Clinton"
470,1,"Lib","Con",29,"HS","$45K-$50K","Clinton"
0,0,"sliLib","Mod",39,"HS","$105Kplus","Clinton"
0,7,"Lib","Con",41,"Coll","$105Kplus","Dole"
4,7,"Lib","Con",64,"BAdeg","$50K-$60K","Dole"
640,7,"sliLib","Con",37,"MAdeg","$75K-$90K","Clinton"
0,0,"sliLib","Con",58,"Coll","$35K-$40K","Clinton"
190,0,"Mod","Con",20,"Coll","$3K-$5K","Clinton"
35,3,"sliLib","sliCon",29,"BAdeg","$25K-$30K","Clinton"
0,5,"sliLib","Con",43,"BAdeg","$35K-$40K","Clinton"
0,2,"sliLib","sliCon",72,"MAdeg","$25K-$30K","Dole"
35,7,"Mod","Con",85,"MAdeg","$45K-$50K","Clinton"
51,1,"Mod","sliCon",31,"HS","$60K-$75K","Clinton"
0,7,"Con","sliLib",45,"HS","$75K-$90K","Clinton"
